#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST
101 0.001981 0.003457 0.01128 0.003221 0.01098 0.00286 0.01015 0.00251 0.01263 0.003677 0.006064 0.003547 0.01231 0.003101 0.04341 0.03065 -0.006338 0.1615 -0.06914 0.1421 3.46155
102 0.001375 0.003621 0.01043 0.003284 0.01663 0.002963 0.006049 0.002543 0.01166 0.003705 0.01354 0.003583 0.01335 0.003123 0.007541 0.02819 0.01568 0.1096 -0.02838 0.09556 3.4705
103 -0.001279 0.003623 0.002565 0.003152 0.007768 0.002314 0.006656 0.002314 0.009101 0.003045 0.01358 0.002995 0.01433 0.002694 0.0404 0.02368 0.001643 0.09058 0.01098 0.08608 3.485651
104 0.01545 0.003006 0.0107 0.002673 0.01054 0.002456 0.01153 0.00311 0.01519 0.004556 0.01991 0.004449 0.01607 0.003781 0.345 0.0304 -0.04659 0.1608 0.03111 0.1429 3.538
105 -0.0001617 0.00443 0.01519 0.004279 0.009338 0.003819 0.007308 0.003227 0.01293 0.004758 0.01453 0.004639 0.009855 0.003947 0.05273 0.03038 -0.01154 0.09926 0.001864 0.08645 3.544
106 0.001085 0.001809 0.003104 0.0017 0.004032 0.001256 0.004332 0.001108 0.002622 0.001366 0.004445 0.001277 0.004579 0.001243 0.03208 0.01716 -0.2905 0.286 -0.3265 0.3499 3.561599
107 0.002416 0.003651 0.01206 0.003477 0.01598 0.002567 0.02114 0.0022 0.0201 0.002951 0.02216 0.002664 0.02235 0.002895 0.06167 0.03103 0.07374 0.1677 0.03575 0.1557 3.5727999210357666
108 0.002635 0.006982 0.01921 0.006743 0.02029 0.006106 0.02752 0.00666 0.02881 0.009375 0.03285 0.009379 0.01337 0.008515 0.04715 0.03215 -0.02225 0.2216 0.1244 0.1822 3.583
109 0.002268 0.006957 0.01638 0.004969 0.02222 0.004304 0.01808 0.002974 0.01373 0.003827 0.01609 0.003812 0.01917 0.003804 0.06689279 0.1109839 -0.05219088 0.1135207 -0.04526013 0.09756856 3.6215
110 0.002025 0.003897 0.01519 0.003691 0.01459 0.002693 0.01435 0.002327 0.01416 0.003155 0.01301 0.002843 0.01012 0.00239 0.02734 0.02957 -0.07725 0.1085 -0.01391 0.1031 3.623300075531006
